epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,806.11,1.4402,1.28499,1.8253,0.75954,0.83951,0.84987,0.4368,1.6908,1.05827,2.06601,0.00134794,0.00134794,0.00134794
60,819.595,1.37841,1.15084,1.7709,0.73811,0.7284,0.79803,0.4262,1.66884,1.13485,2.06899,0.00134244,0.00134244,0.00134244
61,833.024,1.38728,1.15455,1.78286,0.77903,0.7835,0.83959,0.44959,1.59805,1.02746,1.97804,0.00133693,0.00133693,0.00133693
62,849.402,1.39108,1.13248,1.75752,0.73025,0.71605,0.72777,0.28114,2.04842,1.2172,2.39168,0.00133143,0.00133143,0.00133143
63,863.938,1.38553,1.1237,1.74821,0.8717,0.75492,0.85936,0.43731,1.63402,1.05493,2.04001,0.00132593,0.00132593,0.00132593
64,878.017,1.38333,1.12663,1.74362,0.80591,0.69136,0.80719,0.43181,1.67314,1.14205,2.04405,0.00132043,0.00132043,0.00132043
65,892.814,1.37785,1.15705,1.77248,0.89777,0.75309,0.88535,0.47036,1.58189,1.07618,2.03184,0.00131493,0.00131493,0.00131493
66,907.208,1.35633,1.10247,1.74588,0.91659,0.74074,0.82984,0.42728,1.68698,1.0782,2.05569,0.00130943,0.00130943,0.00130943
67,921.847,1.33268,1.09494,1.73098,0.85105,0.82716,0.86568,0.4487,1.6259,1.01892,2.08521,0.00130393,0.00130393,0.00130393
68,935.909,1.38179,1.114,1.76151,0.8537,0.74074,0.82734,0.40822,1.78343,1.07244,2.1357,0.00129843,0.00129843,0.00129843
69,949.597,1.34655,1.1277,1.74647,0.80453,0.83951,0.8435,0.4539,1.5665,0.94629,1.9971,0.00129293,0.00129293,0.00129293
70,963.419,1.35597,1.08899,1.73416,0.87105,0.80247,0.87188,0.48046,1.57491,0.95026,2.03728,0.00128742,0.00128742,0.00128742
71,977.188,1.34685,1.09728,1.72128,0.7952,0.76543,0.83802,0.42221,1.70023,1.10996,2.03238,0.00128192,0.00128192,0.00128192
72,993.089,1.33959,1.10222,1.72263,0.9197,0.77778,0.85899,0.44018,1.71141,1.02123,2.04548,0.00127642,0.00127642,0.00127642
73,1006.59,1.32733,1.04275,1.70841,0.86295,0.76543,0.85957,0.44649,1.51607,1.05538,1.97676,0.00127092,0.00127092,0.00127092
74,1020.21,1.37515,1.07295,1.76516,0.7281,0.65432,0.70188,0.35964,1.7828,1.16176,2.14659,0.00126542,0.00126542,0.00126542
75,1033.96,1.345,1.07743,1.716,0.84761,0.71605,0.81173,0.46257,1.59971,0.92213,1.98069,0.00125992,0.00125992,0.00125992
76,1047.93,1.34206,1.04978,1.72627,0.86653,0.80152,0.85532,0.44969,1.64447,1.01168,2.03723,0.00125442,0.00125442,0.00125442
77,1062.09,1.31246,1.04079,1.69664,0.90352,0.80932,0.87881,0.49931,1.54119,0.83806,1.97008,0.00124892,0.00124892,0.00124892
78,1076.08,1.3039,1.04499,1.68943,0.86654,0.83951,0.88217,0.468,1.61047,0.92561,2.01553,0.00124342,0.00124342,0.00124342
79,1090.11,1.34012,1.05053,1.72224,0.87307,0.76427,0.85191,0.4355,1.67188,0.97395,2.05115,0.00123791,0.00123791,0.00123791
80,1104.82,1.30328,1.02145,1.69772,0.79322,0.74074,0.78335,0.40733,1.618,1.06155,2.03967,0.00123241,0.00123241,0.00123241
81,1119.15,1.2784,1.01803,1.65936,0.79028,0.83951,0.82848,0.42151,1.6344,0.99771,2.08227,0.00122691,0.00122691,0.00122691
82,1136.82,1.29964,1.01819,1.68947,0.9293,0.82716,0.9046,0.46281,1.68283,0.90847,2.01946,0.00122141,0.00122141,0.00122141
83,1151.74,1.3091,0.99717,1.68055,0.81366,0.81481,0.80258,0.43007,1.61866,0.89256,1.98944,0.00121591,0.00121591,0.00121591
84,1166.37,1.28133,1.00035,1.66079,0.92835,0.79986,0.84474,0.42275,1.68262,0.93146,2.04493,0.00121041,0.00121041,0.00121041
85,1181.57,1.29855,1.04197,1.68417,0.89038,0.79012,0.85661,0.40497,1.79435,0.88374,2.16667,0.00120491,0.00120491,0.00120491
86,1196.8,1.3084,1.02091,1.69797,0.85689,0.77778,0.80302,0.44657,1.64189,0.9157,2.05569,0.00119941,0.00119941,0.00119941
87,1211.72,1.31169,1.01881,1.70678,0.84389,0.80247,0.83654,0.4471,1.75353,0.93549,2.12508,0.00119391,0.00119391,0.00119391
88,1225.91,1.27736,1.003,1.67521,0.72789,0.74074,0.73972,0.37676,1.74851,1.03589,2.20143,0.0011884,0.0011884,0.0011884
89,1239.58,1.30158,1.00903,1.68524,0.91433,0.77778,0.81992,0.41384,1.65076,0.97594,2.04206,0.0011829,0.0011829,0.0011829
90,1253.83,1.2608,0.96519,1.64922,0.87952,0.81112,0.89553,0.47799,1.50834,0.90815,1.86306,0.0011774,0.0011774,0.0011774
91,1267.95,1.27247,0.98907,1.65932,0.80595,0.81481,0.84772,0.44878,1.57836,0.97502,1.99253,0.0011719,0.0011719,0.0011719
92,1281.67,1.30857,0.99615,1.68177,0.82587,0.76121,0.82336,0.45488,1.63405,0.94347,1.99425,0.0011664,0.0011664,0.0011664
93,1295.19,1.29302,0.98668,1.68509,0.92184,0.76543,0.8371,0.45687,1.62926,0.92474,2.03264,0.0011609,0.0011609,0.0011609
94,1309.16,1.24399,0.96737,1.63935,0.94425,0.83651,0.90456,0.50895,1.59882,0.84955,2.00992,0.0011554,0.0011554,0.0011554
95,1322.76,1.26456,0.99506,1.65141,0.87981,0.81335,0.87924,0.51506,1.5282,0.84744,1.94433,0.0011499,0.0011499,0.0011499
96,1336.79,1.2927,0.97946,1.66536,0.86699,0.80474,0.87997,0.49748,1.55426,0.90763,1.97379,0.0011444,0.0011444,0.0011444
97,1350.4,1.30952,0.9795,1.6848,0.85235,0.85526,0.89468,0.48027,1.53369,0.93049,1.98958,0.00113889,0.00113889,0.00113889
98,1363.97,1.23985,0.94637,1.6298,0.82629,0.81481,0.86524,0.45671,1.67344,0.92495,2.04251,0.00113339,0.00113339,0.00113339
